Good,Positive
Hao ,Neutral
Lol ,Neutral
bad,Negative
Acha ,Positive
Afsoz,Neutral
Arsal,Positive
bhai ,Neutral
Cute ,Positive
ji ji,Neutral
Okay ,Positive
True.,Positive
achaa,Positive
Yeah ,Neutral
awla  ,Positive
Ababel,Neutral
Allah.,Neutral
Beshaq,Neutral
Dukhon,Negative
Fazool,Negative
Had ha,Negative
Hahaha,Positive
Hahaha,Positive
Han na,Neutral
Ji han,Neutral
Kaafir,Negative
Kamal ,Positive
KASMEH,Neutral
Khusra,Negative
Kro do,Neutral
kub he,Neutral
L0lll ,Neutral
lanate,Negative
lol   ,Neutral
Mjy b ,Neutral
Okay .,Neutral
Saeee.,Neutral
Saheen,Neutral
Shikre,Neutral
So sad,Negative
Stupid,Negative
2 twins,Neutral
Achi hy,Positive
Allah o,Neutral
Amazing,Neutral
is bad,Negative
ary han,Neutral
Bakwaas,Negative
bakwas ,Negative
Be shak,Negative
Beshak.,Positive
Bhej de,Neutral
Bht awla,Positive
BtAoo..,Neutral
Cl krle,Neutral
credits,Neutral
Dafa ho,Negative
darbari,Neutral
Ded me,Neutral
Dekh ly,Neutral
Diesly ,Neutral
Dushmn ,Negative
Engaged,Neutral
Exactly,Neutral
Good,Positive
Great g,Positive
Ha haha,Positive
HAAHAAA,Positive
HAahaha,Positive
Had hai,Negative
haha.. ,Positive
Hahaha ,Positive
Hahaha ,Positive
HahahaÇ,Positive
Hahahah,Positive
Hahahha,Positive
HahHa,Positive
Hahhaha,Positive
Han na ,Neutral
healthy,Neutral
Heheheh,Positive
Hgya ? ,Neutral
Hope so,Neutral
In week,Neutral
Injured,Neutral
It's me,Neutral
Jbh    ,Neutral
Ji nai ,Neutral
Kabotar,Neutral
KasHhhh,Neutral
Lajawab,Positive
Like us,Neutral
looters,Neutral
love it,Positive
Ma roof,Neutral
Macheer,Neutral
Majbori,Negative
Manafiq,Negative
Mil mje,Neutral
Mubarak,Positive
munafiq,Negative
namoni ,Neutral
Nd syed,Neutral
Nh hoge,Neutral
Nhe nhe,Neutral
nikaall,Neutral
No coke,Neutral
Not 10?,Neutral
Oho wow,Positive
Ok boss,Neutral
Ok done,Neutral
Panadol,Neutral
Pichoon,Neutral
Pta nhi,Neutral
rehmat ,Positive
Saba zu,Neutral
Sae kha,Positive
Sai mai,Positive
Screw u,Neutral
Shaheen,Neutral
Sheekra,Neutral
Shutup ,Neutral
So sad ,Negative
So true,Positive
Somehow,Neutral
Soo sad,Negative
Still ?,Neutral
Superb ,Neutral
Thank u,Neutral
Tm s km,Neutral
Traitor,Neutral
Tum bhi,Neutral
ure bus,Neutral
USSSS Ç,Neutral
Wa g wa,Positive
Wah wah,Positive
Waiting,Neutral
welcome,Neutral
Weldon ,Positive
Wellcom,Neutral
Wowwww ,Positive
Y ahmad,Neutral
ye ap o,Neutral
Yes bro,Neutral
Yessss,Neutral
you too,Neutral
Zalmi p,Neutral
zrur!! ,Neutral
 7 times,Neutral
 OWNER  ,Neutral
2 choor ,Neutral
aala .. ,Positive
Abi ajaÇ,Neutral
Acha hei,Positive
apki eid,Positive
Astagfar,Negative
ati hai ,Neutral
Awesome ,Positive
Aye haye,Neutral
Begharti,Negative
behtreen,Positive
Bhtttt alaw,Positive
bichari ,Negative
Bilashak,Neutral
bkwass??,Negative
bs kardo,Neutral
Bye bye ,Neutral
Congrats,Positive
Dadii bh,Neutral
